id,prevExp,jobResp,training,research,gathering,engage,metrics,socialMedia,degree,security,position,newsroom,researchFreq,engageFreq,subregion
936,2,"1:2,2:3,3:1,4:2,5:0,6:1,7:2,8:3,9:2,10:2,11:2,12:3,13:2,14:0,15:1,16:2,17:3,18:0,19:0,20:0,21:1,22:1,23:1,24:2,25:2","2,14,20,23,24","1,4,9,15","1,2,5,9,10,11,14,18,20,21","1,2,7,16","2,21","1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:3,9:2,10:2,11:2,12:3",1,"6,8",6,1,"1:3,2:3,3:1,4:3,5:3,6:3,7:1,8:1","1:3,2:3,3:2,4:3,5:2,6:1,7:1",Latin America and the Caribbean
937,7,"1:3,2:3,3:2,4:2,5:2,6:2,7:2,8:3,9:3,10:2,11:2,12:3,13:2,14:2,15:2,16:3,17:3,18:3,19:2,20:2,21:3,22:3,23:3,24:3,25:3","2,4,8,23,24","1,4,9,15","1,2,5,9,10,12,14,17,18,19,20","1,2,4,13,16","1,2,4,5,6,7,10,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"3,8",5,1,"1:3,2:3,3:3,4:3,5:2,6:3,7:2,8:2","1:3,2:3,3:2,4:3,5:3,6:2,7:2",Latin America and the Caribbean
938,"1,2","1:2,2:3,3:3,4:0,5:0,6:0,7:0,8:2,9:1,10:0,11:0,12:2,13:0,14:0,15:0,16:3,17:3,18:0,19:2,20:2,21:0,22:0,23:2,24:1,25:3","1,4,5,9,11,23,24","1,3,4,15","9,11,17,18,20","2,5,11,16",22,"1:1,2:2,3:1,4:0,5:2,6:3,7:1,8:1,9:2,10:2,11:2,12:3",1,"6,8",3,6,"1:1,2:0,3:0,4:3,5:0,6:3,7:1,8:1","1:3,2:3,3:0,4:0,5:3,6:0,7:0",Latin America and the Caribbean
939,"1,3,5","1:3,2:0,3:1,4:1,5:0,6:0,7:0,8:2,9:3,10:3,11:2,12:3,13:0,14:0,15:2,16:3,17:3,18:3,19:1,20:0,21:3,22:3,23:3,24:0,25:3","1,16,23,24","4,5,7,9,15","1,2,8,10,17,20,21","2,16","1,2,4,5,6,7,8,9,11,14,15,16,18,21","1:3,2:3,3:3,4:1,5:3,6:3,7:3,8:3,9:3,10:3,11:2,12:3","1,3","6,8",7,1,"1:3,2:3,3:2,4:3,5:2,6:1,7:1,8:1","1:3,2:3,3:1,4:3,5:0,6:0,7:1",null
940,7,"1:3,2:3,3:3,4:3,5:2,6:1,7:2,8:3,9:3,10:3,11:3,12:3,13:3,14:1,15:3,16:3,17:3,18:3,19:3,20:1,21:3,22:3,23:3,24:3,25:3","23,24",15,null,16,null,null,3,8,5,4,null,null,null
941,3,"1:2,2:1,3:0,4:0,5:0,6:0,7:0,8:2,9:2,10:2,11:1,12:2,13:0,14:0,15:1,16:1,17:1,18:0,19:0,20:1,21:1,22:0,23:2,24:0,25:2","5,6,7,8,11,13,15,17,19,23,24","4,8,9,15","1,2,5,9,10,14,17,18,19,20,21","1,2,4,16","1,2,3,7,18,20,21","1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2,9:2,10:1,11:1,12:2",1,"6,8",6,1,"1:2,2:2,3:2,4:2,5:1,6:2,7:0,8:2","1:2,2:2,3:2,4:2,5:2,6:0,7:0",Latin America and the Caribbean
942,"2,3,4","1:3,2:1,3:1,4:3,5:0,6:0,7:0,8:0,9:0,10:1,11:2,12:0,13:2,14:0,15:0,16:3,17:2,18:1,19:0,20:0,21:2,22:2,23:0,24:0,25:1","23,24","2,4,15","1,2,5,7,10,11,18","2,4,5,16",null,"1:3,2:2,3:2,4:0,5:2,6:2,7:2,8:1,9:3,10:1,11:1,12:2",1,8,1,4,"1:2,2:2,3:1,4:2,5:1,6:0,7:1,8:1","1:3,2:2,3:1,4:2,5:1,6:0,7:0",null
943,7,"1:3,2:2,3:1,4:1,5:1,6:0,7:0,8:0,9:1,10:1,11:1,12:1,13:0,14:0,15:1,16:3,17:2,18:1,19:0,20:0,21:1,22:1,23:3,24:0,25:2","1,2,4,23,24","1,4,9,15","1,2,9,17,20","2,11,13,16","4,21","1:3,2:3,3:3,4:2,5:2,6:2,7:3,8:3,9:1,10:1,11:1,12:1",1,"6,8",5,4,"1:3,2:3,3:2,4:2,5:2,6:1,7:2,8:2","1:3,5:3",Latin America and the Caribbean
944,"1,2","1:3,2:2,3:1,4:1,5:0,6:0,7:0,8:2,9:1,10:1,11:1,12:1,13:0,14:0,15:1,16:3,17:2,18:1,19:3,20:1,21:0,22:0,23:2,24:3,25:2","1,4,5,8,9,10,11,16,18,19,23,24","1,4,6,9,15","1,2,5,7,9,10,11,14,17,18,20","1,2,11,16",21,"1:3,2:3,3:2,4:1,5:2,6:2,7:3,8:1,9:2,10:3,11:2,12:3",1,"6,8",8,1,"1:2,2:2,3:1,4:2,5:2,6:3,7:0,8:0","1:2,2:3,3:0,4:0,5:3,6:0,7:1",Latin America and the Caribbean
945,"2,4","2:3,8:3,17:3","2,4,5,23,24","1,4,15","1,2,3,8,14,20","2,5,16",null,"1:2,2:3,3:2,7:2",1,"6,8",5,1,1:02,1:03,Latin America and the Caribbean
946,"1,3,4","1:3,2:2,3:2,4:2,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:3,22:3,23:0,24:0,25:0","23,24","4,15","1,2,9,10,12","1,2,16",null,"1:3,2:3,3:3,4:3,5:3,6:0,7:3,8:3,9:0,10:0,11:0,12:3",1,8,6,1,"1:2,2:0,3:0,4:2,5:0,6:0,7:0,8:0","1:2,2:0,3:0,4:0,5:0,6:0,7:0",null
947,7,null,"23,24",15,null,16,null,null,1,8,6,4,null,null,null
948,1,"1:3,2:0,3:0,4:1,5:0,6:0,7:1,8:2,9:3,10:2,11:3,12:2,13:1,14:0,15:1,16:2,17:2,18:0,19:0,20:1,21:1,22:1,23:3,24:2,25:3","4,5,15,23,24","1,4,9,15","1,2,9,14,17,18,19,20","2,13,16",22,"1:2,2:3,3:2,4:3,5:1,6:2,7:2,8:1,9:1,10:1,11:1,12:2",3,"7,8",8,1,"1:2,2:2,3:1,4:1,5:0,6:2,7:0,8:0","1:3,2:3,3:0,4:0,5:2,6:0,7:0",Latin America and the Caribbean
949,"1,2,3,6","1:1,2:2,3:0,4:1,5:0,6:1,7:1,8:3,9:2,10:1,11:1,12:3,13:1,14:0,15:1,16:3,17:1,18:0,19:0,20:0,21:0,22:0,23:1,24:1,25:1","1,4,14,23,24","1,4,5,15","1,2,5,9,10,11,12,14,18,19,20","2,11,13,16","21,23","1:2,2:3,3:3,4:3,5:2,6:2,7:3,8:3,9:3,10:3,11:2,12:3","1,4",8,8,1,"1:3,2:3,3:3,4:3,5:2,6:3,7:2,8:2","1:3,2:3,3:1,4:1,5:1,6:1,7:2",Latin America and the Caribbean
950,"1,2,3,5","1:3,2:3,3:3,4:3,6:2,7:1,8:3,9:3,10:1,11:3,12:3,13:1,17:1,18:1,19:1,20:2,21:2,22:2,23:3,24:3,25:3","1,2,5,6,7,8,10,11,16,17,18,19,23,24","1,4,15","1,2,9,10,11,12,17,18,19,20,21","1,2,3,4,13,16","1,2,3,5,7,8,16,17,18,19,20,21","1:2,2:3,3:3,4:2,5:3,6:2,7:2,8:3,9:2,10:3,11:2,12:3",1,"6,8",8,1,"1:3,2:3,3:1,4:3,5:2,6:3,7:2,8:2","1:2,2:2,3:1,4:2,5:2,6:1,7:1",Latin America and the Caribbean
951,7,"1:3,2:2,3:2,4:3,5:0,6:0,7:1,8:2,9:1,10:1,11:1,12:3,13:3,14:1,15:1,16:1,17:1,18:1,19:0,20:0,21:1,22:1,23:3,24:1,25:0","2,5,7,23,24","1,6,9,15","1,2,9,10,12,17,20","2,4,16","2,7,16","1:3,2:3,3:3,4:1,5:2,6:2,7:3,8:3,9:2,10:2,11:2,12:3",1,"3,8",1,2,"1:3,2:2,3:3,4:3,5:1,6:3,7:2,8:2","1:3,2:2,3:3,4:3,5:3,6:2,7:2",Latin America and the Caribbean
952,1,"1:3,2:3,3:3,4:3,5:2,6:2,7:3,8:3,9:3,10:3,11:3,12:3,13:3,14:2,15:3,16:3,17:3,18:3,19:3,20:3,21:3,22:3,23:3,24:3,25:3","1,2,4,5,6,7,8,9,10,11,13,15,16,17,18,23,24","1,4,9,15","1,2,9,10,11,14,17,18,20","1,2,7,16","3,4,5,8,9,11,16,17,18,19,20,21","1:3,3:3,4:3,5:3,6:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",8,3,"1:3,2:2,3:2,4:3,5:3,6:3,7:2,8:2","1:3,2:3,4:3,5:3",Latin America and the Caribbean
953,7,"1:2,2:3,3:1,4:2,5:0,6:0,7:0,8:1,9:1,10:2,11:2,12:1,13:0,14:0,15:2,16:3,17:3,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0","1,8,9,23,24","1,3,4,15","1,2,9,10,11,14,17,18,20,21","1,2,11,16","1,2,4,5,7,18,19,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:2,9:3,10:3,11:3,12:3",1,"3,4,8",8,1,"1:3,2:3,3:2,4:3,5:2,6:3,7:0,8:0","1:3,2:2,3:2,4:3,5:3,6:0,7:0",Latin America and the Caribbean
954,7,"1:3,2:0,3:0,4:0,5:0,6:0,7:0,8:3,9:2,10:0,11:0,12:3,13:0,14:2,15:3,16:2,17:2,18:0,19:0,20:3,21:0,22:0,23:3,24:1,25:3","8,11,12,21,23,24","4,14,15","1,3,9,14,17","2,16",22,"1:3,2:3,3:3,4:0,5:1,6:2,7:3,8:3,9:3,10:3,11:1,12:3",1,"6,8",4,6,"1:3,2:1,3:2,4:2,5:0,6:0,7:1,8:1","1:3,2:1,3:3,4:3,5:3,6:1,7:1",Latin America and the Caribbean
955,"1,2,3,5,6",null,"23,24",15,null,16,null,null,2,8,5,4,null,null,null
956,1,null,"23,24",15,null,16,null,null,1,8,6,6,null,null,null
957,"1,5","1:3,2:1,3:1,4:1,5:0,6:0,7:0,8:3,9:3,10:3,11:2,12:1,13:0,14:0,15:1,16:2,17:2,18:2,19:2,20:2,21:2,22:2,23:3,24:3,25:2","6,7,11,23,24","1,4,7,15","1,2,7,9,14,17,20","2,11,13,16","2,4,5","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",6,4,"1:3,2:2,3:1,4:1,5:1,6:3,7:2,8:2","1:3,2:3,3:1,4:1,5:1,6:1,7:1",Latin America and the Caribbean
958,2,4:03,"23,24","1,15",2,16,null,null,2,8,8,6,1:01,null,null
959,"1,6","1:3,2:3,3:1,4:1,5:0,6:2,7:0,8:0,9:2,10:2,11:2,12:3,13:1,14:0,15:3,16:3,17:2,18:2,19:1,20:1,21:3,22:3,23:2,24:2,25:2","1,2,4,23,24","2,4,9,15","1,2,5,10,12,14,16,18,19,20,21","2,7,12,13,16","1,2,5,6,9,19","1:2,2:2,3:2,4:2,5:2,6:3,7:2,8:1,9:3,10:2,11:3,12:3","3,4","4,8",7,1,"1:3,2:3,3:2,4:3,5:1,6:3,7:1,8:1","1:3,2:3,3:1,4:1,5:1,6:1,7:2",Latin America and the Caribbean
960,"1,2,3,5,6","1:2,2:1,3:1,4:1,5:0,6:2,7:0,8:3,9:1,10:2,11:3,12:3,13:0,14:0,15:1,16:3,17:2,18:3,19:3,20:2,21:3,22:3,23:3,24:1,25:3","2,4,5,13,19,23,24","2,4,6,15","1,2,9,10,12,13,14,15,17,20,21","2,9,13,16","1,2,6,15,16,17","1:3,2:3,3:3,4:2,5:3,6:3,7:3,8:3,9:3,10:3,11:1,12:3",1,"6,8",5,1,"1:3,2:3,3:1,4:3,5:1,6:1,7:3,8:3","1:3,2:3,3:2,4:2,5:1,6:2,7:3",Latin America and the Caribbean
961,"1,2,3","1:3,2:2,3:0,4:2,5:0,6:0,7:2,8:2,9:1,10:0,11:3,12:3,13:2,14:1,15:2,16:3,17:3,18:3,19:1,20:0,21:2,22:2,23:3,24:2,25:3","1,13,15,23,24","4,9,15","1,2,5,9,10,17,18,19,20","1,2,13,16","2,3,4,6,8,10,20,21","1:3,2:3,3:3,4:1,5:3,6:3,7:3,8:1,9:2,10:3,11:3,12:3",1,"4,8",7,4,"1:3,2:1,3:1,4:2,5:1,6:3,7:0,8:2","1:3,2:2,3:0,4:2,5:1,6:0,7:1",Latin America and the Caribbean
962,"1,2,3","1:3,2:2,3:3,4:3,5:0,6:0,7:3,8:3,9:1,10:1,11:3,12:3,13:3,14:0,15:1,16:3,17:3,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:3","23,24","1,4,15","2,5,9,17,18,20","2,5,13,16",null,"1:2,2:3,3:2,4:2,5:1,6:3,7:2,8:1,9:3,10:3,11:3,12:2",1,8,8,6,"1:3,2:3,3:2,4:1,5:0,6:3,7:2,8:2","1:3,2:3,3:2,4:2,5:2,6:0,7:2",null
964,"1,2,4","1:3,2:3,3:2,4:2,5:2,6:2,7:2,8:3,9:3,10:3,11:3,13:2,14:2,15:2,16:3,17:3,18:3,19:2,20:3,21:3,22:3,23:3,24:3,25:3","11,17,18,19,23,24","1,4,9,15","1,2,9,17,20,21","2,12,13,16","1,2,3,4,5,7,8,18,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",5,4,"1:3,2:3,3:2,4:2,5:2,6:3,7:3,8:3","1:3,2:3,3:2,4:2,5:2,6:2,7:2",Latin America and the Caribbean
965,"1,2,3,4,5,6","1:3,2:2,3:2,4:2,5:2,6:2,7:1,8:3,9:1,10:2,11:2,12:3,13:0,15:1,16:3,17:3,18:0,19:0,20:0,21:3,22:3,23:3,24:2,25:2","1,11,19,23,24","4,5,9,15","1,2,3,5,7,8,9,10,11,12,13,14,16,18,19,20,21","2,4,12,16","1,2,3,4,5,6,7,8,11,14,15,16,17,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",null,"6,8",10,4,"1:2,2:3,3:0,4:3,5:3,6:3,7:1,8:1","1:3,2:3,3:0,4:2,5:2,6:1,7:1",Latin America and the Caribbean
967,"1,2,4,6",null,"23,24",15,null,16,null,null,1,8,5,4,null,null,null
968,"1,2,3,5","1:3,2:2,3:1,4:2,5:1,6:1,7:1,8:3,9:3,10:2,11:2,12:3,13:1,14:1,15:2,16:3,17:3,18:1,19:3,20:1,21:1,22:2,23:3,24:1,25:3","2,4,5,23,24","2,4,9,15","1,2,5,9,10,12,14,19,20","2,11,13,16","1,2,4,8,21","1:2,2:3,3:3,4:1,5:3,6:3,7:2,8:2,9:3,10:3,11:3,12:3",1,"6,8",8,4,"1:3,2:3,3:3,4:3,5:2,6:2,7:2,8:2","1:3,2:3,3:2,4:2,5:2,6:2,7:3",Latin America and the Caribbean
970,"1,2,4,6",null,"23,24",15,null,16,null,null,1,8,7,1,null,null,null
972,2,"1:2,2:1,3:1,4:1,5:1,6:1,7:0,8:3,9:3,10:2,11:2,12:2,13:1,14:1,15:1,16:1,17:2,18:1,19:1,20:1,21:2,22:2,23:2,24:1,25:2","2,3,5,6,7,14,15,17,18,23,24","1,2,4,15","1,2,9,10,12,14,17,18,20,21","14,16",2,"1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"3,8",6,6,"1:3,2:3,3:1,4:2,5:2,6:3,7:1,8:3","1:3,2:2,3:2,4:2,5:3,6:1",Latin America and the Caribbean
973,7,"1:3,2:1,3:0,4:1,5:0,6:0,7:1,8:0,9:1,10:1,11:2,12:1,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:1,24:0,25:1","8,9,10,23,24","1,2,4,6,9,15","1,2,5,10,11,14,15,17,18,19,20","2,5,7,16",22,"1:3,2:3,3:3,4:3,5:3,6:1,7:3,8:3,9:3,10:1,11:1,12:3",1,"6,8",8,1,"1:3,2:3,3:1,4:3,5:1,6:3,7:3,8:1","1:3,2:2,3:1,4:1,5:3,6:2,7:2",Latin America and the Caribbean
975,"1,2,3,6","1:2,2:3,3:3,4:3,5:3,6:3,7:1,8:2,9:2,10:1,11:2,12:1,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:2,24:3,25:3","2,6,9,13,19,23,24","1,2,6,15","1,2,5,9,14,15,16,17,19","2,16",22,"1:3,2:3,3:3,4:3,5:3,6:1,7:2,8:3,9:3,10:3,11:1,12:3",1,"6,8",5,6,"1:3,2:3,3:1,4:2,5:3,6:0,7:0,8:0","1:1,2:1,3:1,4:1,5:1,6:1,7:1",Latin America and the Caribbean
976,7,"1:2,2:2,3:1,4:3,5:1,6:1,7:1,8:2,9:3,10:1,11:2,12:3,13:1,14:1,15:1,16:2,17:1,18:2,19:1,21:2,22:2,23:2,24:2,25:2","3,6,9,23,24","1,4,9,15","1,2,3,5,7,9,10,12,15,17,18,20","1,2,11,16",22,"1:3,2:2,3:3,4:2,5:3,6:3,7:3,8:3,9:2,10:2,11:2,12:3",1,"6,8",8,1,"1:3,2:2,3:1,4:3,5:2,6:3,7:1,8:1","1:3,2:3,3:1,4:2,5:2,6:1,7:2",Latin America and the Caribbean
979,"1,2,3,4","1:3,2:2,3:1,4:2,5:0,6:0,7:3,8:3,9:3,10:2,11:3,12:2,13:2,14:0,15:0,16:0,17:0,18:0,19:0,20:1,21:0,22:0,23:0,24:2,25:0","1,2,10,23,24","1,4,9,15","1,2,3,5,7,8,10,11,18,20,21","11,16","2,4,5,16,17,20,21","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"7,8",8,4,"1:3,2:3,3:3,4:3,5:1,6:3,7:1,8:2","1:3,2:3,3:2,4:2,5:3,6:1,7:1",Latin America and the Caribbean
981,2,"1:3,2:0,3:0,4:0,5:0,6:0,7:0,8:3,9:2,10:0,11:0,12:1,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:1,24:1,25:1","2,3,4,6,9,10,11,13,15,18,23,24","1,4,9,10,15","1,2,3,4,5,9,10,11,14,17,18,19,20,21","1,2,7,16",22,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"2,3,4,8",8,4,"1:3,2:3,3:3,4:3,5:2,6:3,7:3,8:3","1:3,2:3,3:2,4:3,5:3,6:1,7:1",Latin America and the Caribbean
983,"1,2,3","1:3,2:2,3:3,4:2,5:0,6:3,7:1,8:3,9:2,10:1,11:3,12:2,13:2,14:0,15:0,16:2,17:0,18:2,19:0,20:0,21:0,22:0,23:2,24:0,25:2","1,10,19,23,24","1,4,9,15","1,2,3,7,9,10,11,17,18,20","2,5,12,16","2,4,5,6,7,18,19","1:1,2:3,3:2,4:2,5:1,6:3,7:2,8:2,9:3,10:0,11:2,12:3",null,"6,8",8,6,"1:3,2:3,4:3,5:3,6:2,7:1,8:2","1:3,2:2,3:1,4:2,5:2,6:1,7:2",Latin America and the Caribbean
984,2,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,10:1,11:3,12:3,13:3,14:3,15:3,16:3,17:3,18:3,19:3,20:2,21:3,22:3,23:3,24:2,25:3","23,24",15,1,16,null,null,3,8,8,4,"1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3",null,null
986,7,"1:3,2:2,3:2,4:2,5:2,6:1,7:0,8:3,9:3,10:3,11:3,12:3,13:1,14:2,15:2,16:3,17:3,18:3,19:3,20:3,21:1,22:1,23:3,24:3,25:3","4,5,6,23,24","4,8,9,15","1,9","1,2,7,16","2,4,5,6,19","1:2,2:3,3:2,4:1,5:2,6:2,7:2,8:2,9:3,10:3,11:3,12:2",null,"6,8",8,4,"1:2,2:1,3:1,4:1,5:1,6:2,7:1,8:1","1:3,2:1,3:1,4:1,5:3,6:1,7:1",Latin America and the Caribbean
987,5,null,"23,24",15,null,16,null,null,4,8,3,3,null,null,null
988,7,null,"23,24",15,null,16,null,null,1,8,6,6,null,null,null
989,"2,4","1:2,2:2,3:1,4:1,5:0,6:0,7:1,8:2,9:1,10:1,11:1,12:2,13:0,14:0,15:2,16:2,17:2,18:2,19:0,20:0,21:0,22:0,23:1,24:1,25:2","1,2,23,24","1,4,9,15","1,3,8,9,10,12,18,20","1,2,13,16","1,2,3,4,7,16,17,18,21","1:2,2:3,3:1,4:1,5:2,6:3,7:2,8:1,9:2,10:2,11:2,12:2",3,"6,8",7,4,"1:3,3:0,4:2,5:0,6:3,7:1,8:2","1:3,2:0,3:1,4:1,5:3,6:0,7:1",Latin America and the Caribbean
990,"1,2,3,4,6","1:3,2:1,3:1,4:1,5:0,6:0,7:0,8:3,9:3,10:3,11:1,12:0,13:1,14:0,15:3,16:1,17:1,18:1,19:0,20:1,21:1,22:1,23:1,24:1,25:1","1,2,4,5,6,7,8,9,10,11,14,15,16,17,18,19,20,23,24","1,2,7,15","1,2,8,9,10,11,14,15,17,18,19,20,21","1,2,3,5,7,8,11,12,13,16","2,3,4,5,7,8,16,17,18,20,21","1:3,2:3,3:3,4:3,5:3,6:1,7:3,8:1,9:1,10:3,11:2,12:2",1,"2,8",8,4,"1:3,2:3,3:3,4:2,5:2,6:3,7:2,8:2","1:3,2:3,3:1,4:1,5:2,6:1,7:1",Latin America and the Caribbean
992,2,"1:3,2:2,3:1,4:1,5:0,6:0,7:0,8:3,9:2,10:2,11:2,12:1,13:1,14:0,15:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,24:0,25:0","1,2,4,5,6,7,8,11,14,17,19,21,23,24","1,4,15","1,2,9,10,11,14,17,18,19,20","2,13,16",22,"1:3,2:2,3:3,4:2,5:3,6:1,7:3,8:2,9:2,10:1,11:0,12:3",1,"6,8",6,1,"1:3,2:3,3:0,4:2,5:1,6:3,7:1,8:2","1:2,2:2,3:0,4:0,5:1,6:0,7:1",Latin America and the Caribbean
993,"1,3,4","1:3,2:1,3:1,4:1,5:1,6:1,7:1,8:3,9:2,10:2,11:2,12:2,13:0,14:0,15:0,16:0,17:0,18:0,19:0,20:1,21:2,22:2,23:2,24:1,25:3","2,23,24","1,3,4,15","1,2,5,8,9,10,11,12,14,16,18,20","1,2,4,12,13,16","1,2,3,4,5,6,7,8,10,11,12,14,15,16,18,19,20","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",6,3,"1:2,2:3,3:3,4:3,5:3,6:3,7:3,8:3","1:3,2:3,3:3,4:0,5:2,6:3,7:3",Latin America and the Caribbean
994,"1,2,3,4,5","1:3,2:2,3:0,4:0,5:0,6:0,7:0,8:3,9:3,10:3,11:2,12:2,13:0,14:0,16:0,17:1,18:2,19:0,20:1,21:0,22:0,23:3,24:0,25:2","1,4,19,23,24","1,4,9,13,15","1,2,8,9,10,11,12,14,17,19,20","2,7,16",22,"1:3,2:3,3:2,4:0,5:3,6:3,7:3,8:2,9:3,10:0,11:0,12:3",4,"6,8",8,1,"1:1,2:1,3:1,4:2,5:1,6:0,7:1,8:1","1:3,2:3",Latin America and the Caribbean
995,7,"1:3,2:2,3:2,4:2,5:2,6:2,7:2,8:3,9:3,10:2,11:2,12:2,13:1,14:2,15:2,16:2,17:2,18:2,19:1,20:2,21:3,22:2,24:2,25:2","1,4,10,23,24","1,15","1,3,7,14","2,16","1,2,5","1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3,9:3,10:3,11:3,12:3",1,"6,8",8,6,"1:3,2:2,3:2,4:2,5:2,6:2,7:3,8:3","1:3,2:2,3:3,4:3,5:2,6:3,7:3",Latin America and the Caribbean
996,3,"1:3,2:3,3:2,4:2,5:2,6:2,7:3,8:2,9:1,10:1,11:2,12:3,13:2,14:1,15:2,16:2,17:1,18:1,19:1,20:2,21:2,22:1,23:1,24:1,25:3","4,6,7,16,17,23,24","4,15","1,2,9,10,16,19,20","1,2,9,13,16","2,3,5,7,8,18","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:3,10:2,11:2,12:3",1,8,7,4,"1:3,2:3,3:3,4:2,5:2,6:1,7:1,8:2","1:3,2:3,3:3,4:3,5:1,6:1,7:2",Latin America and the Caribbean
997,7,"1:3,2:1,3:0,4:1,5:0,6:0,7:0,8:1,9:2,10:2,11:2,12:3,13:0,14:0,15:2,16:3,17:2,18:3,19:0,20:0,21:1,22:1,23:3,24:0,25:2","5,14,18,23,24","4,9,11,15","1,2,3,9,17,18,20","2,16",4,"1:3,2:2,3:3,4:1,5:3,6:2,7:3,8:3,9:2,10:2,11:2,12:3",4,8,5,1,"1:3,2:3,3:0,4:2,5:1,6:3,7:0,8:2","1:3,2:3,3:0,4:2,5:0,6:0,7:0",Latin America and the Caribbean
998,7,"1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:2,10:2,11:0,12:0,13:0,14:0,15:2,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:2,24:2,25:0","23,24","13,15","1,2,9,12,14,17,20","2,16",null,"1:3,3:3,7:3,8:2,12:3",1,8,6,1,"1:3,2:3,3:2,4:2,5:0,6:0,7:2,8:2","1:3,2:3",null
999,"2,3,5","1:3,2:3,4:3,8:3,9:3,16:2,17:2,18:2,19:2,21:2,22:2,24:1","2,4,5,7,17,23,24","1,4,5,8,9,15","1,2,5,9,12,17,20","1,2,16","2,3,4,5,6","1:2,2:2,3:2,4:2,7:2,8:2",3,8,5,1,"1:2,2:2,4:2","1:3,2:3",Latin America and the Caribbean
1000,"1,2,3","1:3,2:2,3:3,4:1,5:1,6:1,7:1,8:1,9:1,10:1,11:1,12:3,13:2,14:1,15:1,16:2,17:1,18:1,19:1,20:1,21:1,22:1,23:2,24:1,25:1","1,2,14,23,24","1,4,9,15","1,3","1,2,7,16","2,7,8","1:3,2:3,3:3,4:3,5:3,6:2,7:3,8:3,9:3,10:3,11:2,12:3",1,"6,8",5,1,"1:3,2:3,3:0,4:3,5:3,6:1,7:1,8:1","1:2,2:3,3:0,4:2,5:2,6:0,7:0",Latin America and the Caribbean
1001,"1,3,6","1:3,2:3,3:1,5:0,6:0,7:3,8:2,9:2,10:2,11:3,12:2,13:0,14:0,15:2,16:1,17:1,18:1,19:0,20:0,21:1,22:1,23:2,24:2,25:3","2,5,6,23,24","1,2,3,15","1,3,5,7,9,10,14,17,19,20","1,2,13,16","1,2,3,4,5,6,7,8,9","1:2,2:2,3:2,4:2,5:2,6:2,7:3,8:1,9:1,10:2,11:2,12:2",3,8,8,1,"1:2,2:1,3:2,4:3,5:0,6:3,7:2,8:2","1:2,2:1,3:1,4:1,5:2,6:1,7:1",Latin America and the Caribbean
1002,"2,3,5","1:3,2:3,3:1,4:1,5:0,6:0,7:3,8:3,9:3,10:0,11:3,12:3,13:1,14:0,15:0,16:3,17:3,18:0,19:0,20:0,21:2,22:0,23:3,24:0,25:0","3,4,5,14,15,16,19,23,24","1,3,4,6,9,15","2,5,8,9,10,12,14,17,18,20,21","1,2,7,16","1,2,4,7,21","2:3,3:3,6:3,7:3,8:3,9:3,11:3,12:3",1,"6,8",6,4,"1:0,2:3,3:0,4:0,5:0,6:3,7:3,8:3","2:3,5:3,6:3",Latin America and the Caribbean
1003,7,"1:3,8:3,9:3,17:3,23:3,25:3","2,4,7,12,18,23,24","1,2,4,15","1,2,3,7,17,18,20","1,2,11,12,16","1,5,6,12,20,21","1:3,2:3,3:3,6:3,7:3,8:3,9:3,11:3",1,"2,3,8",6,1,"1:3,2:3,6:3,7:3,8:3","1:3,5:3,6:3,7:3",Latin America and the Caribbean
